主要建材_cat,主要用途_cat,交易年月日_date,備註,全移轉_bin,單價每平方公尺,土地_num,土地移轉總面積平方公尺,建物_num,建物型態_cat,建物現況格局-廳,建物現況格局-房,建物現況格局-衛,建物現況格局-隔間_bin,建物移轉總面積平方公尺,建築完成年月_date,有無管理組織_bin,移轉層次_num,總價元,總樓層數_num,車位_num,車位移轉總面積平方公尺,車位總價元,車位類別_cat,都市土地使用分區_cat,鄉鎮市區_cat
12,2,2015-10-05,,0,109870.0,1,25.44,1,3,2,3,2,1,107.4,1981-12-31,0,2,11800000,5,0,0.0,0,0,1,10
1,2,2015-09-14,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-14,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-14,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-14,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-14,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-14,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-14,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-06,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-06,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-05,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-05,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-02,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-05,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-05,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-02,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-02,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-08,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-08,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-08,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-08,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-07,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
1,2,2015-09-03,,1,0.0,1,0.02,1,12,0,0,1,0,0.02,1951-01-09,0,,4831,1,0,0.0,0,0,1,2
12,2,2015-10-03,含增建或未登記建物。,0,196731.0,1,7.95,1,5,0,1,1,1,32.43,2009-05-18,1,5,6380000,7,0,0.0,0,0,1,10
12,2,2015-09-21,含增建或未登記建物。,0,157337.0,2,15.04,1,1,1,1,1,1,60.38,1994-10-18,1,10,9500000,13,0,0.0,0,0,1,10
12,2,2015-10-07,親友、員工或其他特殊關係間之交易。,0,113223.0,1,39.4,1,3,2,3,2,1,123.65,,0,2,14000000,5,0,0.0,0,0,1,10
12,2,2015-09-25,,0,130236.0,1,39.2,1,9,2,3,2,1,148.95000000000005,1994-05-30,1,6,19400000,7,1,0.0,0,2,1,10
12,2,2015-10-12,二親等間買賣,0,120289.0,1,7.9,1,1,1,2,1,1,99.76,2010-04-13,1,5,12000000,15,1,9.45,0,3,3,12
12,2,2015-09-02,親友、員工或其他特殊關係間之交易(二親等)。,0,284858.0,1,5.44,1,1,1,2,1,1,66.7,1981-12-31,1,9,19000000,12,0,0.0,0,0,3,2
1,9,2014-07-25,,1,111068.0,0,0.0,1,12,2,3,2,1,307.92,,0,,34200000,4,0,0.0,0,0,0,12
12,2,2015-10-20,,0,149740.0,1,12.4,1,1,1,2,1,1,46.08,,0,9,6900000,12,0,0.0,0,0,1,12
12,2,2015-09-16,價格含增建。,0,134884.0,5,38.34,1,3,2,4,2,1,107.5,1979-04-09,0,2,14500000,4,0,0.0,0,0,1,4
12,2,2015-10-03,含增建或未登記建物。,0,186522.0,1,6.6,1,5,1,1,1,1,31.31,1980-01-10,1,6,5840000,6,0,0.0,0,0,3,1
12,2,2015-09-27,價格含增建。內含獨立產權車位，未包含在棟數內。本案車位面積無法概算。,0,164809.0,1,30.11,1,1,2,4,2,1,166.86,1991-01-08,1,"2,3",27500000,13,1,0.0,0,3,1,4
12,2,2015-08-23,,0,172060.0,1,75.79,1,9,2,3,2,1,326.63,2009-11-26,1,7,56200000,10,2,0.0,0,1,1,4
12,2,2015-10-06,,0,148499.0,1,17.32,1,3,2,2,1,1,90.91,1982-06-22,0,3,13500000,5,0,0.0,0,0,3,1
12,2,2015-09-18,,0,184897.0,6,17.64,1,9,1,2,2,1,102.76,1980-05-15,1,4,19000000,7,0,0.0,0,0,1,1
12,2,2015-10-27,無隔間的集合住宅,0,174115.0,1,8.55,1,4,0,0,0,0,34.46,1975-09-03,1,1,6000000,4,0,0.0,0,0,3,1
1,2,2015-10-20,親友、員工或其他特殊關係間之交易。,0,96355.0,2,18.25,1,3,1,2,1,1,62.27,,0,4,6000000,4,0,0.0,0,0,3,1
12,2,2015-10-18,,0,168349.0,2,27.3,1,3,2,3,2,1,99.08,1980-04-22,0,5,16680000,5,0,0.0,0,0,1,1
12,2,2015-08-27,親友、員工或其他特殊關係間之交易。,0,156217.0,1,31.31,1,3,2,3,2,1,96.02,1981-07-03,0,2,15000000,5,0,0.0,0,0,1,4
10,2,2013-06-22,1.本案為預售合約價格。2.雨遮3.54平方公尺，不計價。,0,274279.0,1,19.9,1,1,2,4,2,1,320.53,2015-06-23,0,12,67650000,16,2,95.04,5800000,1,3,1
10,2,2015-10-01,,0,252993.0,1,19.75,1,1,2,4,2,1,273.01,2015-06-23,0,13,60000000,16,1,47.52,2950000,1,3,1
